Name,Star,Stars_count,Price,Area,Category,Services,Searched City
The Pink Door,4.5,5473,$$,Downtown,"['Italian', 'Wine Bars', 'Seafood']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
Nue,4,1067,$$,Capitol Hill,"['Tapas/Small Plates', 'Cocktail Bars', 'Breakfast & Brunch']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Biscuit Bitch,4,4046,$,Downtown,"['Breakfast & Brunch', 'Coffee & Tea', 'Southern']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
2120,4,421,$$$,Denny Triangle,"['American (New)', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Witness,4.5,847,$$,Capitol Hill,"['Southern', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
The Walrus and the Carpenter,4,1680,$$$,Ballard,"['Seafood', 'Tapas/Small Plates']","['Outdoor dining', 'Takeout']",Seattle
Six Seven Restaurant,4,1072,$$$,Interbay,"['American (New)', 'Seafood', 'Cocktail Bars']",['Outdoor dining'],Seattle
List,4.5,1948,$$,Belltown,"['Tapas/Small Plates', 'Cocktail Bars', 'American (Traditional)']",['Delivery'],Seattle
Tilikum Place Cafe,4.5,2091,$$,Belltown,"['American (New)', 'Breakfast & Brunch', 'Desserts']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Elliott’s Oyster House,4,3658,$$$,Waterfront,['Seafood'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Toulouse Petit Kitchen & Lounge,4,4254,$$,Lower Queen Anne,"['Breakfast & Brunch', 'American (New)', 'Seafood']","['Delivery', 'Takeout']",Seattle
Shaker + Spear,4.5,843,$$,Belltown,"['Seafood', 'American (New)', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Purple Café and Wine Bar,4,2511,$$$,Downtown,"['American (New)', 'Wine Bars', 'Desserts']",['Delivery'],Seattle
The White Swan Public House,4,288,$$,South Lake Union,"['Bars', 'Seafood', 'Venues & Event Spaces']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Pike Place Chowder,4.5,7695,$$,Downtown,"['Seafood', 'Soup']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Damn the Weather,4,468,$$,Pioneer Square,"['Cocktail Bars', 'American (New)']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
Ishoni Yakiniku,4.5,59,n/a,Capitol Hill,"['Barbeque', 'Japanese']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Katsu-ya Seattle,4.5,89,$$,South Lake Union,"['Sushi Bars', 'Japanese', 'Seafood']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Biang Biang Noodles,4,228,$$,First Hill,"['Noodles', 'Chinese']","['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Kedai Makan,4,988,$$,Capitol Hill,"['Malaysian', 'Noodles']","['Outdoor dining', 'Takeout']",Seattle
Cascina Spinasse,4.5,1106,$$$,Capitol Hill,['Italian'],"['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Radiator Whiskey,4.5,1272,$$,Downtown,"['American (New)', 'Cocktail Bars', 'Comfort Food']","['Delivery', 'Takeout']",Seattle
Sawyer,4.5,403,n/a,Ballard,['American (New)'],"['Outdoor dining', 'Takeout']",Seattle
Kedai Makan,4,988,$$,Capitol Hill,"['Malaysian', 'Noodles']","['Outdoor dining', 'Takeout']",Seattle
How To Cook a Wolf,4,956,$$$,Queen Anne,"['Italian', 'Tapas/Small Plates']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Taylor Shellfish Oyster Bar,4.5,771,$$,Pioneer Square,"['Seafood', 'Live/Raw Food']",['Waitlist opens at 3:00 pm'],Seattle
re:public,4,575,$$,South Lake Union,"['American (New)', 'Bars']",[],Seattle
Pasta Casalinga,4.5,208,$$,Downtown,"['Italian', 'Pasta Shops']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle
Fogón Cocina Mexicana,4.5,1601,$$,Capitol Hill,['Mexican'],"['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle
Some Random Bar,4.5,995,$$,Belltown,"['American (New)', 'Cocktail Bars', 'Breakfast & Brunch']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
Zig Zag Cafe,4.5,1037,$$,Downtown,"['American (New)', 'Cocktail Bars', 'Mediterranean']",['Proof of vaccination required'],Seattle
Pomodoro,4.5,494,$$,Eastlake,"['Italian', 'Spanish', 'Tapas/Small Plates']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle
